Calories,Carbohydrates,Protein,Sodium
67.6139,7.3459,3.3051,261.1574
62.1237,7.5428,3.6767,246.2024
66.8652,7.4463,3.4936,214.3401
62.2998,8.0329,3.3787,222.3784
63.4099,7.0172,3.4818,299.302
80.9916,7.583,4.0187,346.1971
74.5117,7.7253,3.8672,334.1459
67.0076,7.4037,3.7598,313.4783
65.8596,11.1872,3.5498,291.7457
69.4375,7.7996,3.5915,313.1073
71.4384,7.9072,3.6767,331.8404
42.869,5.3795,3.0653,209.5008
54.1949,6.452,3.4192,311.1746
85.0775,8.6107,3.9976,401.5266
40.4666,6.5765,2.5302,8.5178
47.1095,6.2748,3.0428,248.4483
46.602,3.7754,2.2497,227.689
54.0414,5.8999,3.3787,159.7572
42.869,5.3795,3.0653,209.5008
47.7871,6.8614,2.9184,214.8745
83.0298,7.8837,4.029,468.7682
89.6581,7.1157,4.0872,474.3089
55.081,6.7702,3.3204,307.067
52.3742,6.7515,3.2398,213.5372
63.1939,7.0833,3.2893,382.0123
94.2628,9.4972,3.805,305.867
49.1405,7.2866,3.2567,202.8716
78.5208,7.5963,3.9533,456.6014
23.5417,4.4283,1.3109,5.977
23.5417,4.4283,1.3109,5.977
40.4666,6.5765,2.5302,8.5178
23.5417,4.4283,1.3109,5.977
23.5417,4.4283,1.3109,5.977
23.5417,4.4283,1.3109,5.977
75.5713,8.5011,3.4818,229.5897
49.8724,6.6165,3.1285,274.2079
65.7353,7.6487,3.571,364.1452
47.4349,6.8614,2.7672,172.8513
52.2149,7.2715,3.1081,162.1106
49.8724,6.6165,3.1285,274.2079
63.1072,7.067,3.5498,308.7132
55.3813,6.9664,3.3204,309.6094
44.824,10.0981,2.8002,282.6136
49.8444,6.6165,3.1285,274.2079
57.0993,6.8792,2.9451,82.3468
53.3968,7.5156,3.087,87.6277
52.2149,7.2715,3.1081,162.1106
69.4961,7.7874,3.6767,300.3631
42.1402,6.1076,2.7672,233.3684
49.5923,6.9319,3.1081,220.7997
49.8724,6.6165,3.1285,274.2079
43.1308,5.64,3.3355,189.193
67.0685,7.9306,6.2009,361.0339
49.8724,6.6165,3.1285,274.2079
52.2681,7.6616,2.8316,92.2269
62.9553,7.7378,3.5167,247.7839
49.3104,5.7882,3.2047,279.8775
49.8724,6.6165,3.1285,274.2079
54.7031,7.3894,3.3051,150.382
49.8444,6.0827,2.9709,217.4487
48.8845,6.2283,3.1484,210.4909
63.4099,7.6095,3.4575,145.4805
64.2873,6.8253,2.9709,185.9614
49.8724,6.6165,3.1285,274.2079
49.8724,6.6165,3.1285,274.2079
64.0531,7.418,3.5605,382.4167
59.6686,6.9145,3.3355,303.7616
52.2149,7.2715,3.1081,162.1106
59.5072,7.067,2.7672,125.1222
76.5272,7.7253,3.8867,406.3825
57.1958,7.3894,3.3051,203.2375
59.461,7.6873,3.3502,274.6825
52.2149,7.2715,3.1081,162.1106
49.8724,6.6165,3.1285,274.2079
49.8724,6.6165,3.1285,274.2079
52.5329,7.4322,3.1081,165.5597
76.5272,7.7253,3.8867,406.3825
